spec,N,R2,term,estimate,se,p_value
a_centered_cwb_x_distance,338,0.2185172019391958,log_dist_nearest_km,0.4710722302662809,0.3168959163861318,0.13810211876481965
a_centered_cwb_x_distance,338,0.2185172019391958,cwb_centered,0.06672145959360984,0.13188493320446704,0.6132620417723028
a_centered_cwb_x_distance,338,0.2185172019391958,log_dist_nearest_km:cwb_centered,-0.017272035580496052,0.033804559071093664,0.6097381619623528
b_log_reserves_50km_x_centered_cwb,338,0.21885299038726325,log_reserves_50km,-0.37551855823640606,0.28178839891315044,0.183579563803892
b_log_reserves_50km_x_centered_cwb,338,0.21885299038726325,cwb_centered,0.02231981618580861,0.05018752919374508,0.6568094071889767
b_log_reserves_50km_x_centered_cwb,338,0.21885299038726325,log_reserves_50km:cwb_centered,-0.018587894400423466,0.032634394354334274,0.5693525488939057
c_cwb_quartiles_x_distance,338,0.2614111703775473,log_dist_nearest_km,1.0499420611994597,0.7280643509382182,0.15023989983304017
c_cwb_quartiles_x_distance,338,0.2614111703775473,cwb_quartileQ2,7.088209053963534,3.819348178449662,0.06438010483140615
c_cwb_quartiles_x_distance,338,0.2614111703775473,cwb_quartileQ3,7.013965777835353,3.6013956705678787,0.05233008694157302
c_cwb_quartiles_x_distance,338,0.2614111703775473,cwb_quartileQ4,1.4099861889653826,3.718456952234259,0.7047982544090947
c_cwb_quartiles_x_distance,338,0.2614111703775473,log_dist_nearest_km:cwb_quartileQ2,-1.6237279458471912,0.958027036912016,0.0910615588240174
c_cwb_quartiles_x_distance,338,0.2614111703775473,log_dist_nearest_km:cwb_quartileQ3,-1.4257925430373695,0.8768078255768446,0.1048968565717274
c_cwb_quartiles_x_distance,338,0.2614111703775473,log_dist_nearest_km:cwb_quartileQ4,-0.8797704960530253,0.9934629992415681,0.3765117534092687
d_riding_level_centered_cwb_n338,338,0.23244322593928032,log_dist_nearest_km,0.4731549492100678,0.3145406906683037,0.133476399511025
d_riding_level_centered_cwb_n338,338,0.23244322593928032,cwb_centered,0.07925145887677715,0.13100529606596095,0.545632767880269
d_riding_level_centered_cwb_n338,338,0.23244322593928032,log_dist_nearest_km:cwb_centered,-0.019665349346376603,0.03356757765616646,0.5583847622520187
d_riding_level_centered_cwb_n338,338,0.23244322593928032,n_respondents,-0.025522102639995044,0.010478141509056857,0.015394795982326374
